Home                           Away
          ...  O_Ibsi salta con agilidad!
          ...  Llegará a tiempo?
          ...  qui detiene el remate con estilo! Su técnico aplaude
Min. 11 :(qui) C_Gomez avanza metros
          ...  Mira el extremo derecho!
          ...  Y le pone un pase de oro a W_Jhokusht en el otro lado! Qué clase!
          ...  W_Jhokusht no va a llegar. Sí, mete el pie...!
          ...  O_Ibsi hace una gran parada
Min. 12 :(qui) I_Lity con el lanzamiento de la falta
          ...  Ojo que la defensa está mal colocada!
          ...  Vuela directa hacia M_Alustiza
          ...  M_Alustiza con un verdadero obús !
          ...  M_Alustiza está batido! 
          ...  GOOOOOL !! 
          ...  Está desolado!!
          ...  qui 2-0 gim ...
Min. 12 :(gim) M_Ballack hace una pared con un compañero y mete de primeras para E_Terzaghi
          ...  D_Macaluso corta
Min. 13 :(qui) C_Gomez controla el balón en una demostración de clase
          ...  Abre el juego a la derecha!
          ...  D_Macaluso recibe la pelota!
          ...  D_Macaluso se saca una bicicleta de la nada y chuta!
          ...  Se estrella en el larguero
          ...  Y a la grada!
          ...  el portero tiene a los dioses de su lado!
Min. 14 :(qui) Ivan_Cordoba encara al defensa
          ...  Le tira una gambeta!
          ...  Pone el cuerpo para disparar
          ...  Pero suelta el pase hacia M_Alustiza
          ...  M_Alustiza busca la vaselina... desde MEDIO CAMPO!!
          ...  Al lateral de la red
Min. 15 :(qui) R_Faeck encuentra a D_Akerman con un pase largo
          ...  D_Akerman trata de colar la pelota entre las piernas del defensa!
          ...  D_Akerman desvía ligeramente el balón
          ...  Fuera!
          ...  Lo ha logrado!
          ...  Saque de puerta? Vi claramente como la tocaba el cancerbero
Min. 16 :(qui) R_Faeck se cuela por la banda
          ...  Centra hacia M_Alustiza
          ...  M_Alustiza le pega con la zurda!
          ...  O_Ibsi se saca el balón de encima como puede
          ...  Poco estético, pero efectivo!
Min. 17 :(qui) D_Akerman encuentra el pasadizo
          ...  Qué habilidad!
          ...  D_Akerman se lanza en plancha... ! 
          ...  Qué valentía!
          ...  el portero está sorprendido!
          ...  Lo ha pillado fuera de posición!
          ...  OH! Impacta en las vallas publicitarias 
          ...  Gran disparo!
          ...  Merecía el gol
Min. 18 :(qui) W_Jhokusht pica el balón por encima de la defensa hacia M_Alustiza
          ...  M_Alustiza resuelve la jugada con un taconazo!
          ...  Dispara demasiado alto!
          ...  9 de cada 10 de estas ocasiones acaban en gol!
Min. 19 :(qui) I_Lity asiste a M_Alustiza dentro del área
          ...  Punterazo endiablado de M_Alustiza !
          ...  GOOOOOL !! 
          ...  Salta con el puño hacia el cielo
          ...  qui 3-0 gim ...
Min. 20 :(qui) I_Lity va en carrera
          ...  I_Lity llega forzado al remate !
          ...  Dispara excesivamente alto!
          ...  Está horrorizado por lo que falló!
          ...  No es para menos!
Min. 21 :(qui) C_Gomez se va de uno, de dos, de tres!
          ...  Mira a un lado... y pasa hacia M_Alustiza al otro lado! OH!
          ...  M_Alustiza salta con potencia por encima de la defensa !
          ...  Coloca el cuerpo y suelta un terrible disparo!! 
          ...  GOOOOOL !!
          ...  el portero ni se ha movido. Para qué?
          ...  qui 4-0 gim ...
Min. 21 :(qui) D_Macaluso efectúa un espectacular tackle 
          ...  El colegiado indica la falta... hacia el otro lado!
          ...  AMARILLA!!, una más... y fuera!
Min. 22 :(qui) C_Gomez con el saque de banda
          ...  Limpia el balón en su camiseta
          ...  Y saca fuerte hacia D_Akerman
          ...  D_Akerman empalma con la zurda. Colocó mal el cuerpo !
          ...  OOOOOOHHHHHHHH 
          ...  A salido lamiendo el palo
Min. 23 :(qui) W_Jhokusht con el lanzamiento de la falta
          ...  Ve el desmarque de su compañero
          ...  El balón va directo hacia el pie de D_Akerman
          ...  El balón golpea a Lucas_Licht en la cara!
          ...  Peligro despejado! Al defensa no le hace ninguna gracia
Min. 24 :(qui) D_Akerman pisa el balón, arranca, vuelve a parar... el defensa está desquiciado
          ...  D_Akerman busca una de las dos escuadras!
          ...  Precisa vaselina sobre el portero 
          ...  Trata de retroceder!
          ...  GOOOOOL !!
          ...  Qué calidad!
          ...  qui 5-0 gim ...
Min. 25 :(qui) R_Faeck baja el balón con un cabezazo hacia M_Alustiza
          ...  M_Alustiza empalma el balon con una rabona! Qué frivolidad!!
          ...  La red se mueve!
          ...  OH!! Pegó en el lateral
          ...  Parte de la grada cantó GOL!
Min. 26 :(qui) M_Alustiza se va de dos defensas. Uau! No había sitio
          ...  M_Alustiza cruza la línea de medios, avanza, mira al portero y chuta!
          ...  O_Ibsi para el lanzamiento
          ...  Y aleja la pelota!
Min. 27 :(qui) D_Akerman Con un pase demasiado fuerte. M_Alustiza va a llegar!
          ...  M_Alustiza salta y pica el balón perfectamente de cabeza !
          ...  Al lateral de la red!
          ...  Ha tirado a la basura una ocasión de oro
Min. 28 :(qui) D_Akerman evita la dura entrada de su marcador
          ...  D_Akerman remata forzado... con la cabeza !
          ...  O_Ibsi despeja... con la cabeza!!!
          ...  Estaba despistado! Su entrenador se está comiendo el banquillo
Min. 29 :(qui) C_Gomez hace la pared con M_Alustiza
          ...  M_Alustiza busca el palo largo !
          ...  Sitúa el balón suavemente lejos del alcance del portero!!
          ...  Pero va a parar al larguero !!
          ...  Y fuera!
          ...  el portero acaricia su portería. No me extraña!!!!
Min. 30 :(qui) R_Faeck se acerca al área
          ...  Ve a M_Alustiza desmarcarse 
          ...  Le tira un pase medido
          ...  M_Alustiza prueba suerte con un disparo raso!
          ...  Pero O_Ibsi rechaza el balón 
          ...  Y la defensa, muy atenta, aleja el peligro
Min. 31 :(qui) C_Gomez se abre a la banda y cambie el juego hacia D_Akerman
          ...  D_Akerman otea la posición del portero !
          ...  Dispara!
          ...  el portero está sorprendido!
          ...  Lo ha pillado fuera de posición!
          ...  OH! Impacta en las vallas publicitarias 
          ...  Gran disparo!
          ...  Merecía el gol
Min. 32 :(qui) C_Gomez pasa hacia W_Jhokusht
          ...  G_Higuain aparece de la nada. El delantero aún está buscando el balón!
Min. 33 :(qui) R_Faeck mira a la derecha
          ...  Y cruza a la izquierda para D_Akerman. Eso lo hacía Laudrup!
          ...  D_Akerman con una preciosa vaselina!
          ...  Los aficionados de detrás de la portería se levantan!
          ...  Fuera !! Golpea en las vallas publicitarias
Min. 34 :(qui) R_Faeck cambia el juego
          ...  D_Macaluso recibe con campo por delante!
          ...  D_Macaluso chuta con la izquierda!
          ...  O_Ibsi para el balón, que queda muerto
          ...  qui se levanta rápidamente y para el segundo remate! Qué bueno!
Min. 35 :(qui) W_Jhokusht corta el balón con dureza
          ...  Desde el suelo mete la puntera
          ...  Y hace llegar la pelota a D_Macaluso
          ...  D_Macaluso hace un gran control!
          ...  Y dispara!
          ...  O_Ibsi hace una parada sencillita
          ...  El disparo no llevaba mucho peligro
Min. 36 :(qui) C_Gomez busca opciones
          ...  Su compañero se deshace del marcador!
          ... D_Akerman recibe un pase medido
          ...  D_Akerman remata forzado... con la rodilla!
          ...  Pero la pelota sale lejos de la portería
Min. 37 :(qui) G_Rodriguez con un balón a la espalda del lateral
          ...  D_Akerman corre hacia la pelota
          ...  Llega antes que el defensa, qué gran esfuerzo!
          ...  D_Akerman trata de ajustar la pelota al palo !
          ...  Pero el balón se pierde inofensivamente por la línea de meta
Min. 38 :(qui) C_Gomez mete un balón interior para D_Akerman
          ...  Lucas_Licht se hace con el balón
          ...  Y lo manda hacia arriba
Min. 39 :(qui) W_Jhokusht suelta un cañonazo! Al larguero!
          ...  D_Akerman recoge el rebote
          ...  D_Akerman impacta la pelota en un alarde de calidad !
          ...  GOOOOOL !!
          ...  Es un súper clase!
          ...  qui 6-0 gim ...
Min. 40 :(qui) R_Faeck envía largo para M_Alustiza
          ...  M_Alustiza trata de sorprender al portero con una inesperada vaselina !
          ...  OOOOHHHHH!!!! 
          ...  Increible!!! 
          ...  Se ha ido fuera
Min. 41 :(qui) C_Gomez pisa campo contrario. Mete un pase entre los centrales para M_Alustiza
          ...  M_Alustiza le pega con la zurda!
          ...  Los aficionados se levantan de sus asientos!
          ...  Pero el balón se va por encima del larguero !!
Min. 42 :(qui) M_Alustiza pisa campo contrario. Mete un pase entre los centrales para C_Gomez
          ...  C_Gomez chuta con la izquierda!
          ...  Pero O_Ibsi bloca el remate con mucha seguridad
Min. 43 :(qui) C_Gomez cambia el juego hacia M_Alustiza 
          ...  M_Alustiza prueba suerte!
          ...  el portero no va a llegar!
          ...  El esférico se estrella en el palo!
          ...  Y fuera!
Min. 44 :(qui) R_Faeck pisa campo contrario. Mete un pase entre los centrales para D_Akerman
          ...  D_Akerman con un toque de maestro!
          ...  Su disparo es rechazado por el portero
          ...  Se hace con el rebote!
          ...  Y dispara fuera!
          ...  Se precipitó!
Min. 45 :(qui) R_Faeck se anticipa a su marcador!
          ...  Ha sido mucho más rápido
          ...  R_Faeck chuta!
          ...  O_Ibsi mete la mano y alcanza el balón con la punta de los dedos 
          ...  córner, marca el arbitro   
          ...  Pero el asistente lo corrige! Eso es asistir?

El arbitro añadira 1 min. al tiempo reglamentario

Min. 46 :(qui) I_Lity golpea el balón al hueco. D_Akerman aparece de la nada
          ...  D_Akerman con un tremendo cabezazo !
          ...  O_Ibsi ve venir el balón
          ...  Y lo atrapa con facilidad

*************  NOS VAMOS AL DESCANSO  ****************

Min. 46 :(qui) W_Jhokusht levanta la cabeza
          ...  Ve perfectamente a D_Akerman
          ...  D_Akerman se deshace de su marcador ! 
          ...  Buen movimiento! Y dispara!
          ...  Chuta con el exterior!
          ...  Uhhhhh! Ha salido a metros del marco
Min. 47 :(qui) M_Alustiza va directo a puerta
          ...  M_Alustiza desde fuera del área !
          ...  Rebota en el palo!! 
          ...  Se anticipa al defensa para el rebote 
          ...  Es gol de Abreu, Abreu, Abreeeeeeeeeeu !! 
          ...  Ha tirado fuera! Como? Si no había portero!
Min. 47 :(gim) Nico_Cabrera corta el juego con una falta táctica 
          ...  Y ahora qué? Amarilla?
          ...  el arbitro  se 'come' la cartulina. Eso era amarilla!
Min. 48 :(qui) R_Faeck espera a que alguien le acompañe en ataque
          ...  Levanta los brazos, nadie se desmarca!
          ...  Busca la individual! Prepara el disparo!
          ...  Rebota en un defensa y cae a pies de D_Macaluso
          ...  D_Macaluso empalma el balon con una rabona! Qué frivolidad!!
          ...  Pero le pegó rematadamente mal!
Min. 49 :(qui) I_Lity se cuela por la banda
          ...  Centra hacia M_Alustiza
          ...  M_Alustiza con un sutil toque de puntera!
          ...  Pero O_Ibsi alcanza la pelota con el puño 
          ...  Ha demostrado mucha valentía en esa acción
Min. 49 :(gim) O_Barsottini se lleva bien el balón 
          ...  el arbitro  pita falta! Bufff, no vale ni para la Segunda B
          ...  el arbitro  saca el tarjetero y se lo muestra. Una imagen vale más que mil plabaras
Min. 50 :(qui) C_Gomez combina con R_Faeck. Juegan de memoria!
          ...  R_Faeck con un toque de maestro!
          ...  el portero detiene el balón con una mano!! 
          ...  El rebote cae al centro, limpio para el delantero 
          ...  Remata !!
          ...  FUERA! Qué fallo! Está desesperado!
Min. 51 :(qui) W_Jhokusht hace la diagonal
          ...  Ve un desmarque por el rabillo del ojo
          ...  Se la pasa a D_Akerman
          ...  Logra meter la plaanta del pie D_Akerman !
          ...  Pero le pegó rematadamente mal!
Min. 52 :(qui) R_Faeck retrocede ante la presión
          ...  Golpea el balón hacia arriba sin sentido
          ...  y le cae a Milton_Casco! Ha sacado petróleo de esa jugada!
          ...  Milton_Casco busca la escuadra !
          ...  O_Ibsi se saca una espectacular parada de la manga 
          ...  Cómo hizo para llegar a ese balón?
Min. 53 :(qui) G_Rodriguez hace una inteligente pared con un compañero
          ...  Busca alguna opción de pase
          ...  No la hay
          ...  G_Rodriguez controla el balón, amaga y... dispara! Oh!
          ...  El disparo coge un efecto envenenado
          ...  el portero reacciona rápidamente y corrige su posición!!
          ...  No va a llegar!
          ...  Pero sale rozando el palo!!
          ...  el portero estaba batido!
Min. 54 :(qui) I_Lity se cuela por el extremo derecho
          ...  Centro medido para D_Akerman
          ...  D_Akerman se abre un hueco entre la defensa rival y dispara !
          ...  Pero el balón se pierde inofensivamente por encima del larguero
Min. 55 :(qui) R_Faeck acelera por la banda derecha
          ...  Pone el balón en el área. Directo hacia M_Alustiza
          ...  M_Alustiza ve al portero adelantado !
          ...  Bota en la línea tras golpear en el travesaño
          ...  El colegiado duda... mira al asistente
          ...  Sigan! Dice
          ...  No ha dado el gol!
          ...  Pues parecía que había cruzado la línea
Min. 56 :(qui) M_Alustiza hace una bicicleta y cambia el juego hacia D_Akerman
          ...  Corte finísimo y preciso de J_C_Blengio
          ...  Ha medido muy bien
Min. 57 :(qui) D_Macaluso encuentra una autopista en la defensa
          ...  La defensa estaba embobada
          ...  Gran volea de D_Macaluso !
          ...  Rebota en el palo!! 
          ...  Se anticipa al defensa para el rebote 
          ...  Es gol de Abreu, Abreu, Abreeeeeeeeeeu !! 
          ...  Ha tirado fuera! Como? Si no había portero!
Min. 58 :(qui) I_Lity con un pase de 50 metros D_Akerman
          ...  El lanzamiento rebota en el muslo de D_Akerman y se encamina a puerta !
          ...  O_Ibsi salta de manera espectacular
          ...  Y atrapa el balón! Se ha adornado para la foto!
Min. 59 :(qui) C_Gomez con un pase impresionante hacia D_Akerman
          ...  D_Akerman remacha el balón a ras de suelo!
          ...  Dispara defectuosamente 
          ...  Tenía muy poco espacio para maniobrar
Min. 60 :(qui) M_Alustiza cuelga arriba sobre D_Akerman
          ...  D_Akerman busca la escuadra !
          ...  O_Ibsi pone el cuerpo detrás del balón y lo para
          ...  Normás básicas de cómo parar!
Min. 61 :(qui) C_Gomez pasa el balón a Milton_Casco
          ...  Milton_Casco prueba suerte desde la lejanía !
          ...  Ay va! Ha tirado a metros de la portería
          ...  Creo que el míster lo va a poner a patear toda la semana como castigo!!
Min. 62 :(qui) W_Jhokusht Con un pase demasiado fuerte. D_Akerman va a llegar!
          ...  D_Akerman suelta una rabona!
          ...  OOOOOOHHHHHHHH 
          ...  A salido lamiendo el palo
Min. 63 :(qui) C_Gomez centra desde la banda, encuentra a G_Rodriguez en el área
          ...  G_Rodriguez con un sorprendente remate !
          ...  O_Ibsi mete los puños
          ...  La podría haber cogido! Estará nervioso?
Min. 64 :(qui) I_Lity llega el priimero al balóm suelto
          ...  Y lo mete en profundidad hacia W_Jhokusht
          ...  W_Jhokusht cabecea con claridad !
          ...  O_Ibsi salta de manera espectacular
          ...  Y atrapa el balón! Se ha adornado para la foto!
Min. 65 :(qui) D_Akerman combina con M_Alustiza. Juegan de memoria!
          ...  Envenenado trallazo de M_Alustiza !
          ...  Coloca el balón suavemente lejos del alcance del portero!! 
          ...  Pero sale rozando el palo !!
          ...  el portero estaba vendido!
Min. 66 :(qui) M_Alustiza se deshace por velocidad de la defensa
          ...  M_Alustiza busca una de las dos escuadras!
          ...  O_Ibsi alcanza la pelota. Buena parada
          ...  El árbitro pita falta sobre qui , de todas maneras
Min. 66 :(qui) G_Rodriguez agarra a su rival de la camiseta!!
          ...  Ambos se iban agarrando hace rato 
          ...  Creo que la decisión es injusta
          ...  el arbitro  hace gestos con las manos de que se calme
Min. 67 :(qui) D_Akerman supera al defensa y se mete en el área
          ...  D_Akerman trata de regatear al defensa !
          ...  O_Ibsi hace una parada realmente complicada
Min. 68 :(qui) D_Akerman se acerca al área
          ...  Ve a M_Alustiza desmarcarse 
          ...  Le tira un pase medido
          ...  M_Alustiza impacta la pelota al primer toque!
          ...  M_Alustiza está batido! 
          ...  GOOOOOL !! 
          ...  No ha podido hacer nada!!
          ...  qui 7-0 gim ...
Min. 69 :(qui) I_Lity con un pase largo D_Akerman
          ...  D_Akerman busca la vaselina !
          ...  OOOOOOHHHHHHHH 
          ...  A salido lamiendo el palo
Min. 70 :(qui) C_Gomez mete la pelota en profundidad para la llegada de M_Alustiza
          ...  M_Alustiza suelta una rabona!
          ...  O_Ibsi despeja con problemas
Min. 71 :(qui) I_Lity cede atrás para M_Alustiza
          ...  M_Alustiza le pega 'mordida'!
          ...  El balón va haciendo extraños en el aire
          ...  Pero dispara fuera
          ...  Dónde estaría apuntando?
Min. 72 :(qui) C_Gomez pone el balón a la espalda de los centrales
          ...  D_Akerman llega con comodidad!
          ...  D_Akerman tiene tiempo y espacio!
          ...  Dispara por bajo!
          ...  Pero O_Ibsi bloca el remate con mucha seguridad
Min. 73 :(qui) W_Jhokusht pone el balón al hueco
          ...  D_Akerman corre hacia la pelota!
          ...  D_Akerman trata de regatear al defensa !
          ...  D_Akerman la saca sobre la misma línea
          ...  el arbitro  consulta con su asistente
          ...  GOOOOOL !!
          ...  qui 8-0 gim ...
Min. 74 :(qui) Peligroso centro de W_Jhokusht a M_Alustiza
          ...  M_Alustiza mira fijamente al portero!
          ...  Dispara entre las piernas de su marcador!
          ...  O_Ibsi alcanza la pelota. Buena parada
Min. 75 :(qui) M_Alustiza con el regate
          ...  Oportunidad clarísima
          ...  M_Alustiza mira fijamente al portero!
          ...  Dispara entre las piernas de su marcador!
          ...  Se estrella en el larguero!! 
          ...  Controla el rebote con el pecho 
          ...  OHHHHHHHH !! 
          ...  Un defensa ha estado más rápido y ha enviado el balón fuera
Min. 76 :(qui) W_Jhokusht mira a D_Akerman... y le manda un pase milimétrico
          ...  D_Akerman busca un disparo con efecto! Esto es fútbol!
          ...  O_Ibsi agranda su figura 
          ...  Cierra todo el espacio ! 
          ...  Y para el lanzamiento. La grada le aplaude
Min. 77 :(qui) M_Alustiza avanza metros
          ...  Mira el extremo derecho!
          ...  Y le pone un pase de oro a D_Akerman en el otro lado! Qué clase!
          ...  D_Akerman no va a llegar. Sí, mete el pie...!
          ...  O_Ibsi hace una gran parada
          ...  Pero no puede retener el balón!
          ...  Lo atrapa en el segundo intento!
Min. 78 :(qui) R_Faeck está escorado en la banda izquierda
          ...  Cambia el juego a la derecha hacia D_Akerman
          ...  D_Akerman resuelve la jugada con un taconazo!
          ...  Pero dispara fuera
          ...  Dónde estaría apuntando?
Min. 79 :(qui) R_Faeck busca opciones
          ...  Su compañero se deshace del marcador!
          ... M_Alustiza recibe un pase medido
          ...  Suelta un latigazo con su pierna izquierda!
          ...  Dispara precipitadamente
          ...  Fuera! No pudo precisar el remate
Min. 80 :(qui) D_Akerman con un giro rapidísimo
          ...  Le enseña el dorsal al defensa
          ...  D_Akerman con un toque sutil!
          ...  El balón 
          va a puerta!
          ...  O_Ibsi mete la mano y alcanza el balón con la punta de los dedos
Min. 81 :(qui) G_Rodriguez con un pase muy fuerte para D_Akerman
          ...  D_Akerman remata forzado... con la cabeza !
          ...  Rebota en el palo!! 
          ...  Se anticipa al defensa para el rebote 
          ...  Es gol de Abreu, Abreu, Abreeeeeeeeeeu !! 
          ...  Ha tirado fuera! Como? Si no había portero!
Min. 82 :(qui) D_Akerman tiene espacio para el disparo
          ...  Un defensa le sale al paso
          ...  Lo regatea, ahora sí que va a chutar!
          ...  D_Akerman le pega como puede... con la espinilla!
          ...  Los aficionados se levantan de sus asientos!
          ...  El portero no se mueve !!
          ...  Pero sale a centímetros de la escuadra!
          ...  el portero respira aliviado!
Min. 83 :(qui) R_Faeck pica el balón por encima de los centrales
          ...  M_Alustiza aparece de la nada. Los ha pillado despistados!
          ...  M_Alustiza se abre un hueco entre la defensa rival y dispara !
          ...  el portero resbala!
          ...  Pero el balón se pierde por la línea de fondo!
Min. 84 :(qui) C_Gomez espera apoyos
          ...  Milton_Casco sale de la cueva. Para él va el balón
          ...  Milton_Casco hace un gran control!
          ...  Y dispara!
          ...  Al lateral de la red
Min. 85 :(qui) R_Faeck ubica el balón a la espalda de la defensa. M_Alustiza busca el desmarque
          ...  M_Alustiza regatea a uno, dos y chuta!
          ...  Se estrella en el larguero!! 
          ...  Controla el rebote con el pecho 
          ...  OHHHHHHHH !! 
          ...  Un defensa ha estado más rápido y ha enviado el balón fuera
Min. 86 :(qui) M_Alustiza ve el desmarque de Milton_Casco
          ...  Milton_Casco se va de su defensor, mete el pie!
          ...  O_Ibsi hace una gran parada
          ...  Y se las arregla para controlar el balón!
Min. 87 :(qui) M_Alustiza hace una pared con un compañero
          ...  Se va directo a puerta!
          ...  M_Alustiza con la red entre ceja y ceja!
          ...  Dispara excesivamente alto!
          ...  Está horrorizado por lo que falló!
          ...  No es para menos!
Min. 88 :(qui) R_Faeck con un pase largo D_Akerman
          ...  D_Akerman con el disparo!
          ...  Dispara fuera
Min. 88 :(gim) Nico_Cabrera hace ostensibles gestos de dolor. Habrá cambio
Min. 88 :(gim) J_Chaves entra por Nico_Cabrera, jugará de MFC y sus aficionados reciben el cambio con alegría
Min. 89 :(qui) I_Lity tira la pared con su delantero
          ...  D_Akerman se la queda!
          ...  Encara a puerta!
          ...  D_Akerman suelta una rabona!
          ...  O_Ibsi tapa perfectamente el ángulo largo 
          ...  Y detiene el balón con sobriedad
Min. 90 :(qui) W_Jhokusht habilita a D_Akerman con un preciso toque
          ...  D_Akerman mira fijamente al marco!
          ...  Dispara!
          ...  el portero está sorprendido!
          ...  Lo ha pillado fuera de posición!
          ...  OH! Impacta en las vallas publicitarias 
          ...  Gran disparo!
          ...  Merecía el gol

El arbitro añadira 3 min. al tiempo reglamentario

Min. 91 :(qui) I_Lity busca opciones
          ...  Nadie le sale al apoyo!
          ...  Se saca el balón de encima. Va hacia M_Alustiza
          ...  Logra meter la plaanta del pie M_Alustiza !
          ...  O_Ibsi ve venir el balón. Parece fácil
          ...  Se tira y lo atrapa espectacularmente! Como se ha regalado!
Min. 91 :(gim) J_Chaves se cuela hasta la línea de fondo
          ... Amaga el centro
          ...  Pasa raso atrás hacia G_Higuain
          ...  Corte finísimo y preciso de Milton_Casco
Min. 92 :(qui) R_Faeck ve perfectamente el desmarque de M_Alustiza
          ...  Lucas_Licht llega antes al balón
Min. 93 :(qui) I_Lity hace la pared con M_Alustiza
          ...  M_Alustiza tiene el disparo a punto!
          ...  Los aficionados se levantan de sus asientos!
          ...  O_Ibsi vuela y bloca la pelota
          ...  Grande chico, grande!

*************  FINAL DEL PARTIDO  ****************



tiros fuera          : qui 46 gim 0
tiros a puerta       : qui 42 gim 0

Marcador             : qui  8 gim 0


<<< Estadisticas de los jugadores del Quilmes >>>

Name          Pos Prs St Tk Ps Sh Sm | Min Sav Ktk Kps Ass Sht Gls Yel Red Inj KAb TAb PAb SAb Fit
--------------------------------------------------------------------------------------------------
D_Vega         GK   L 21  3  3  3 61 |  90   0   0   0   0   0   0   0   0   0  35   0   0   0  89
D_Macaluso    DFC  RC  5 26  2  9 39 |  90   0   1   0   0   5   0   1   0   0   0  61   1  48  65
Milton_Casco  DFC  RC  2 18  5  5 70 |  90   0   1   1   0   4   0   0   0   0   0  95  21  40  81
Ivan_Cordoba  DFC RLC  2 25  6  5 73 |  90   0   0   2   0   0   0   0   0   0   0  47  89  47  42
G_Rodriguez   DFC   R  2 14  4  5 56 |  90   0   0   2   0   3   0   0   0   0   0   0  42  33  72
C_Gomez       MFC   C  4  9 17  9 71 |  90   0   0  19   2   1   0   0   0   0   0   0 469  13  80
I_Lity        MFC   R  2  5 16  4 28 |  90   0   0  13   2   1   0   0   0   0   0   0 343   7  60
R_Faeck       MFC   R  2  4 16  4 41 |  90   0   0  18   0   2   0   0   0   0   0   0 378  20  68
W_Jhokusht    MFC   R  2  5 16  5 39 |  90   0   0  12   2   2   0   0   0   0   0  47 369  73  69
M_Alustiza    FWC RLC  2  6 12 21 58 |  90   0   0   5   0  35   5   0   0   0   0   0 105 591  76
D_Akerman     FWC RLC  2  2 10 19 38 |  90   0   0   3   1  35   3   0   0   0   0   0  98 491  65
B_Buticce      GK   L 13  2  2  2 51 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0 100
Jacobo_Urso   DFC   C  2 13 11  5 72 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0 100
Kittan_Bachik MFC   L  4  6 16 13 50 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0 100
R_Albretch    DFC   C  2 12  5  5 45 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0 100
Nico_Chetti   FWC   R  5  7  6 17 82 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0 100
Nico_Bertolo  MFC   R  1  1 26 14 68 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0  58
J_Botinelli   DFC   R  3 22  9  8 68 |   0   0   0   0   0   0   0   0   0   0   0   0   0   0  44
-- Total --                                  0   2  75   7  88   8   1   0   0


<<< Estadisticas de los jugadores del Gimnasia y Esgrima de La Plata >>>

